indicator,location,country,value,lat,long,code,rank
Education,RUS,Russia,197.1111111,61.52401,105.318756,643,23
Education,HUN,Hungary,195.8777778,47.162494,19.503304,348,24
Education,LUX,Luxembourg,195.5666667,49.815273,6.129583,442,25
Education,SWE,Sweden,194.5777778,60.128161,18.643501,752,26
Education,ISL,Iceland,192.6111111,64.963051,-19.020835,352,27
Education,SVK,Slovak Republic,192.2888889,48.669026,19.699024,703,28
Education,ISR,Israel,191.5,31.046051,34.851612,376,29
Education,ITA,Italy,188.6333333,41.87194,12.56738,380,30
Education,ESP,Spain,188.4666667,40.463667,-3.74922,724,31
Education,GRC,Greece,184.5444444,39.074208,21.824312,300,32
Education,PRT,Portugal,183.6111111,39.399872,-8.224454,620,33
Education,TUR,Turkey,172.7222222,38.963745,35.243322,792,34
Education,CHL,Chile,172.4,-35.675147,-71.542969,152,35
Education,MEX,Mexico,155.7444444,23.634501,-102.552784,484,36
Education,ZAF,South Africa,155.2666667,-30.559482,22.937506,710,37
Education,BRA,Brazil,155.2111111,-14.235004,-51.92528,76,38
Environment,CHE,Switzerland,57,46.818188,8.227512,756,1
Environment,NLD,Netherlands,55.33333334,52.132633,5.291266,528,2
Environment,DEU,Germany,54.5,51.165691,10.451526,276,3
Environment,AUT,Austria,54,47.516231,14.550072,40,4
Environment,KOR,Korea,53.33333334,35.907757,127.766922,410,5
Environment,DNK,Denmark,53.16666667,56.26392,9.501785,208,6
Environment,SVN,Slovenia,52.5,46.151241,14.995463,705,7
Environment,CZE,Czech Republic,52.33333334,49.817492,15.472962,203,8
Environment,ISL,Iceland,52.16666667,64.963051,-19.020835,352,9
Environment,NOR,Norway,51.66666667,60.472024,8.468946,578,10
Environment,JPN,Japan,51.5,36.204824,138.252924,392,11
Environment,SWE,Sweden,51.16666667,60.128161,18.643501,752,12
Environment,BEL,Belgium,51,50.503887,4.469936,56,13
Environment,CAN,Canada,51,56.130366,-106.346771,124,14
Environment,FIN,Finland,50.33333334,61.92411,25.748151,246,15
Environment,NZL,New Zealand,50.33333334,-40.900557,174.885971,554,16
Environment,AUS,Australia,50.16666667,-25.274398,133.775136,36,17
Environment,LUX,Luxembourg,50,49.815273,6.129583,442,18
Environment,PRT,Portugal,49.33333334,39.399872,-8.224454,620,19
Environment,GBR,United Kingdom,49,55.378051,-3.435973,826,20
Environment,FRA,France,48.66666667,46.227638,2.213749,250,21
Environment,POL,Poland,48.5,51.919438,19.145136,616,22
Environment,SVK,Slovak Republic,48.5,48.669026,19.699024,703,23
Environment,USA,United States,47.5,37.09024,-95.712891,840,24
Environment,EST,Estonia,46.83333334,58.595272,25.013607,233,25
Environment,HUN,Hungary,45.83333334,47.162494,19.503304,348,26
Environment,ISR,Israel,45.5,31.046051,34.851612,376,27
Environment,BRA,Brazil,45,-14.235004,-51.92528,76,28
Environment,IRL,Ireland,45,53.41291,-8.24389,372,29
Environment,CHL,Chile,44.66666667,-35.675147,-71.542969,152,30
Environment,ITA,Italy,44,41.87194,12.56738,380,31
Environment,LVA,Latvia,44,56.879635,24.603189,428,32
Environment,GRC,Greece,42,39.074208,21.824312,300,33
Environment,ESP,Spain,41.5,40.463667,-3.74922,724,34
Environment,ZAF,South Africa,41.5,-30.559482,22.937506,710,35
Environment,MEX,Mexico,40,23.634501,-102.552784,484,36
Environment,TUR,Turkey,39.83333334,38.963745,35.243322,792,37
Environment,RUS,Russia,31.5,61.52401,105.318756,643,38
Health,NZL,New Zealand,85.88333334,-40.900557,174.885971,554,1
Health,CAN,Canada,84.83333334,56.130366,-106.346771,124,2
Health,AUS,Australia,84.2,-25.274398,133.775136,36,3
Health,ISR,Israel,83.05,31.046051,34.851612,376,4
Health,USA,United States,82.6,37.09024,-95.712891,840,5
Health,IRL,Ireland,81.93333334,53.41291,-8.24389,372,6
Health,CHE,Switzerland,81.43333334,46.818188,8.227512,756,7
Health,SWE,Sweden,81.3,60.128161,18.643501,752,8
Health,ISL,Iceland,79.55,64.963051,-19.020835,352,9
Health,NOR,Norway,78.9,60.472024,8.468946,578,10
Health,GRC,Greece,78.68333334,39.074208,21.824312,300,11
Health,NLD,Netherlands,78.48333334,52.132633,5.291266,528,12
Health,ESP,Spain,78.08333334,40.463667,-3.74922,724,13
Health,GBR,United Kingdom,78.03333334,55.378051,-3.435973,826,14
Health,LUX,Luxembourg,77.23333334,49.815273,6.129583,442,15
Health,BEL,Belgium,77.03333334,50.503887,4.469936,56,16
Health,DNK,Denmark,76.68333334,56.26392,9.501785,208,17
Health,AUT,Austria,75.3,47.516231,14.550072,40,18
Health,ITA,Italy,74.88333334,41.87194,12.56738,380,19
