indicator,location,country,value,lat,long,code,rank
All Areas,CHE,Switzerland,8520.55575,46.818188,8.227512,756,2
All Areas,BEL,Belgium,6522.57871,50.503887,4.469936,56,3
All Areas,JPN,Japan,6368.572918,36.204824,138.252924,392,4
All Areas,LUX,Luxembourg,6283.06573,49.815273,6.129583,442,5
All Areas,CAN,Canada,6032.967986,56.130366,-106.346771,124,6
All Areas,NZL,New Zealand,5882.583212,-40.900557,174.885971,554,7
All Areas,NLD,Netherlands,5725.08185,52.132633,5.291266,528,8
All Areas,SWE,Sweden,5496.516571,60.128161,18.643501,752,9
All Areas,GBR,United Kingdom,5440.94731,55.378051,-3.435973,826,10
All Areas,AUT,Austria,5095.659656,47.516231,14.550072,40,11
All Areas,ISL,Iceland,5094.882267,64.963051,-19.020835,352,12
All Areas,AUS,Australia,4991.044862,-25.274398,133.775136,36,13
All Areas,DNK,Denmark,4920.230532,56.26392,9.501785,208,14
All Areas,FRA,France,4851.840202,46.227638,2.213749,250,15
All Areas,DEU,Germany,4827.698768,51.165691,10.451526,276,16
All Areas,ITA,Italy,4606.97388,41.87194,12.56738,380,17
All Areas,ISR,Israel,4053.12504,31.046051,34.851612,376,18
All Areas,IRL,Ireland,3771.558959,53.41291,-8.24389,372,19
All Areas,NOR,Norway,3476.213454,60.472024,8.468946,578,20
All Areas,FIN,Finland,3417.447797,61.92411,25.748151,246,21
All Areas,ESP,Spain,3277.409751,40.463667,-3.74922,724,22
All Areas,KOR,Korea,3112.132237,35.907757,127.766922,410,23
All Areas,PRT,Portugal,2905.338076,39.399872,-8.224454,620,24
All Areas,SVN,Slovenia,2448.661858,46.151241,14.995463,705,25
All Areas,CZE,Czech Republic,2338.861312,49.817492,15.472962,203,26
All Areas,GRC,Greece,2303.733155,39.074208,21.824312,300,27
All Areas,CHL,Chile,2148.587884,-35.675147,-71.542969,152,28
All Areas,HUN,Hungary,2050.552965,47.162494,19.503304,348,29
All Areas,EST,Estonia,2030.925528,58.595272,25.013607,233,30
All Areas,POL,Poland,2008.671074,51.919438,19.145136,616,31
All Areas,SVK,Slovak Republic,1785.939153,48.669026,19.699024,703,32
All Areas,RUS,Russia,1665.672214,61.52401,105.318756,643,33
All Areas,LVA,Latvia,1647.678504,56.879635,24.603189,428,34
All Areas,ZAF,South Africa,1472.444613,-30.559482,22.937506,710,35
All Areas,MEX,Mexico,1448.799562,23.634501,-102.552784,484,36
All Areas,TUR,Turkey,1253.991093,38.963745,35.243322,792,37
All Areas,BRA,Brazil,1231.953179,-14.235004,-51.92528,76,38
