indicator,location,country,value,rank,lat,long,code
Education,RUS,Russia,197.1111111,23,61.52401,105.318756,643
Education,HUN,Hungary,195.8777778,24,47.162494,19.503304,348
Education,LUX,Luxembourg,195.5666667,25,49.815273,6.129583,442
Education,SWE,Sweden,194.5777778,26,60.128161,18.643501,752
Education,ISL,Iceland,192.6111111,27,64.963051,-19.020835,352
Education,SVK,Slovak Republic,192.2888889,28,48.669026,19.699024,703
Education,ISR,Israel,191.5,29,31.046051,34.851612,376
Education,ITA,Italy,188.6333333,30,41.87194,12.56738,380
Education,ESP,Spain,188.4666667,31,40.463667,-3.74922,724
Education,GRC,Greece,184.5444444,32,39.074208,21.824312,300
Education,PRT,Portugal,183.6111111,33,39.399872,-8.224454,620
Education,TUR,Turkey,172.7222222,34,38.963745,35.243322,792
Education,CHL,Chile,172.4,35,-35.675147,-71.542969,152
Education,MEX,Mexico,155.7444444,36,23.634501,-102.552784,484
Education,ZAF,South Africa,155.2666667,37,-30.559482,22.937506,710
Education,BRA,Brazil,155.2111111,38,-14.235004,-51.92528,76
Environment,CHE,Switzerland,57,1,46.818188,8.227512,756
Environment,NLD,Netherlands,55.33333334,2,52.132633,5.291266,528
Environment,DEU,Germany,54.5,3,51.165691,10.451526,276
Environment,AUT,Austria,54,4,47.516231,14.550072,40
Environment,KOR,Korea,53.33333334,5,35.907757,127.766922,410
Environment,DNK,Denmark,53.16666667,6,56.26392,9.501785,208
Environment,SVN,Slovenia,52.5,7,46.151241,14.995463,705
Environment,CZE,Czech Republic,52.33333334,8,49.817492,15.472962,203
Environment,ISL,Iceland,52.16666667,9,64.963051,-19.020835,352
Environment,NOR,Norway,51.66666667,10,60.472024,8.468946,578
Environment,JPN,Japan,51.5,11,36.204824,138.252924,392
Environment,SWE,Sweden,51.16666667,12,60.128161,18.643501,752
Environment,BEL,Belgium,51,13,50.503887,4.469936,56
Environment,CAN,Canada,51,14,56.130366,-106.346771,124
Environment,FIN,Finland,50.33333334,15,61.92411,25.748151,246
Environment,NZL,New Zealand,50.33333334,16,-40.900557,174.885971,554
Environment,AUS,Australia,50.16666667,17,-25.274398,133.775136,36
Environment,LUX,Luxembourg,50,18,49.815273,6.129583,442
Environment,PRT,Portugal,49.33333334,19,39.399872,-8.224454,620
Environment,GBR,United Kingdom,49,20,55.378051,-3.435973,826
Environment,FRA,France,48.66666667,21,46.227638,2.213749,250
Environment,POL,Poland,48.5,22,51.919438,19.145136,616
Environment,SVK,Slovak Republic,48.5,23,48.669026,19.699024,703
Environment,USA,United States,47.5,24,37.09024,-95.712891,840
Environment,EST,Estonia,46.83333334,25,58.595272,25.013607,233
Environment,HUN,Hungary,45.83333334,26,47.162494,19.503304,348
Environment,ISR,Israel,45.5,27,31.046051,34.851612,376
Environment,BRA,Brazil,45,28,-14.235004,-51.92528,76
Environment,IRL,Ireland,45,29,53.41291,-8.24389,372
Environment,CHL,Chile,44.66666667,30,-35.675147,-71.542969,152
Environment,ITA,Italy,44,31,41.87194,12.56738,380
Environment,LVA,Latvia,44,32,56.879635,24.603189,428
Environment,GRC,Greece,42,33,39.074208,21.824312,300
Environment,ESP,Spain,41.5,34,40.463667,-3.74922,724
Environment,ZAF,South Africa,41.5,35,-30.559482,22.937506,710
Environment,MEX,Mexico,40,36,23.634501,-102.552784,484
Environment,TUR,Turkey,39.83333334,37,38.963745,35.243322,792
Environment,RUS,Russia,31.5,38,61.52401,105.318756,643
Health,NZL,New Zealand,85.88333334,1,-40.900557,174.885971,554
Health,CAN,Canada,84.83333334,2,56.130366,-106.346771,124
Health,AUS,Australia,84.2,3,-25.274398,133.775136,36
Health,ISR,Israel,83.05,4,31.046051,34.851612,376
Health,USA,United States,82.6,5,37.09024,-95.712891,840
Health,IRL,Ireland,81.93333334,6,53.41291,-8.24389,372
Health,CHE,Switzerland,81.43333334,7,46.818188,8.227512,756
Health,SWE,Sweden,81.3,8,60.128161,18.643501,752
Health,ISL,Iceland,79.55,9,64.963051,-19.020835,352
Health,NOR,Norway,78.9,10,60.472024,8.468946,578
Health,GRC,Greece,78.68333334,11,39.074208,21.824312,300
Health,NLD,Netherlands,78.48333334,12,52.132633,5.291266,528
Health,ESP,Spain,78.08333334,13,40.463667,-3.74922,724
Health,GBR,United Kingdom,78.03333334,14,55.378051,-3.435973,826
Health,LUX,Luxembourg,77.23333334,15,49.815273,6.129583,442
Health,BEL,Belgium,77.03333334,16,50.503887,4.469936,56
Health,DNK,Denmark,76.68333334,17,56.26392,9.501785,208
Health,AUT,Austria,75.3,18,47.516231,14.550072,40
Health,ITA,Italy,74.88333334,19,41.87194,12.56738,380
Health,FRA,France,74.85,20,46.227638,2.213749,250
Health,DEU,Germany,72.85,21,51.165691,10.451526,276
Health,BRA,Brazil,72.68333334,22,-14.235004,-51.92528,76
Health,FIN,Finland,72.53333334,23,61.92411,25.748151,246
Health,SVN,Slovenia,72.5,24,46.151241,14.995463,705
Health,TUR,Turkey,72.38333334,25,38.963745,35.243322,792
Health,SVK,Slovak Republic,71.85,26,48.669026,19.699024,703
Health,MEX,Mexico,70.58333334,27,23.634501,-102.552784,484
Health,CHL,Chile,69.71666667,28,-35.675147,-71.542969,152
Health,CZE,Czech Republic,69.63333334,29,49.817492,15.472962,203
Health,POL,Poland,68.35,30,51.919438,19.145136,616
Health,HUN,Hungary,67.13333334,31,47.162494,19.503304,348
Health,EST,Estonia,66.43333334,32,58.595272,25.013607,233
Health,PRT,Portugal,64.4,33,39.399872,-8.224454,620
Health,LVA,Latvia,62.65,34,56.879635,24.603189,428
Health,ZAF,South Africa,62.38333334,35,-30.559482,22.937506,710
Health,JPN,Japan,59.1,36,36.204824,138.252924,392
Health,KOR,Korea,58.8,37,35.907757,127.766922,410
Health,RUS,Russia,55.25,38,61.52401,105.318756,643
Housing,LVA,Latvia,13.96666667,1,56.879635,24.603189,428
Housing,ZAF,South Africa,13.06666667,2,-30.559482,22.937506,710
Housing,JPN,Japan,10.1,3,36.204824,138.252924,392
Housing,TUR,Turkey,9.9,4,38.963745,35.243322,792
Housing,BRA,Brazil,9.533333333,5,-14.235004,-51.92528,76
Housing,CHL,Chile,9.533333333,6,-35.675147,-71.542969,152
Housing,CZE,Czech Republic,9.366666667,7,49.817492,15.472962,203
Housing,EST,Estonia,9.266666667,8,58.595272,25.013607,233
Housing,GRC,Greece,9.233333333,9,39.074208,21.824312,300
Housing,DNK,Denmark,9.133333333,10,56.26392,9.501785,208
Housing,SVK,Slovak Republic,9.133333333,11,48.669026,19.699024,703
Housing,MEX,Mexico,9.066666667,12,23.634501,-102.552784,484
Housing,ISR,Israel,8.866666667,13,31.046051,34.851612,376
Housing,HUN,Hungary,8.8,14,47.162494,19.503304,348
Housing,RUS,Russia,8.766666667,15,61.52401,105.318756,643
Housing,ITA,Italy,8.733333333,16,41.87194,12.56738,380
Housing,POL,Poland,8.733333333,17,51.919438,19.145136,616
Housing,NZL,New Zealand,8.566666667,18,-40.900557,174.885971,554
Housing,ISL,Iceland,8.533333333,19,64.963051,-19.020835,352
Housing,BEL,Belgium,8.433333333,20,50.503887,4.469936,56
Housing,GBR,United Kingdom,8.433333333,21,55.378051,-3.435973,826
Housing,ESP,Spain,8.333333333,22,40.463667,-3.74922,724
Housing,FIN,Finland,8.166666667,23,61.92411,25.748151,246
Housing,CHE,Switzerland,7.933333333,24,46.818188,8.227512,756
Housing,DEU,Germany,7.933333333,25,51.165691,10.451526,276
Housing,CAN,Canada,7.9,26,56.130366,-106.346771,124
Housing,AUT,Austria,7.866666667,27,47.516231,14.550072,40
Housing,AUS,Australia,7.8,28,-25.274398,133.775136,36
Housing,FRA,France,7.766666667,29,46.227638,2.213749,250
Housing,LUX,Luxembourg,7.7,30,49.815273,6.129583,442
Housing,IRL,Ireland,7.366666667,31,53.41291,-8.24389,372
Housing,SWE,Sweden,7.266666667,32,60.128161,18.643501,752
Housing,PRT,Portugal,7.233333333,33,39.399872,-8.224454,620
